c_report_date,c_fd_code,c_stk_pos_avg,c_stk_pos_chg_avg,c_stk_pos_level,c_stk_timing,c_updatetime
2025-09-30,000538,87.218800,3.698600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000538,85.970000,3.601400,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000541,86.146300,7.185700,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000541,85.657500,7.350000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000541,85.153800,6.198600,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000545,76.321300,2.862900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000545,75.721300,2.934300,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000545,74.977500,3.230000,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000547,83.910000,5.837100,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000547,83.763800,6.478600,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000547,83.861300,7.197100,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000549,94.515000,0.502900,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000549,94.463800,0.297100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000549,94.578800,0.122900,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000550,85.698800,7.350000,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000550,84.471300,7.441400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000550,80.833800,9.244300,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000551,85.793800,5.104300,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000551,86.352500,6.671400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000551,86.447500,6.250000,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000554,88.125000,3.325700,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000554,88.347500,2.618600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000554,87.061300,2.784300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000566,82.157500,8.625700,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000566,80.302500,8.750000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000566,80.495000,8.044300,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000573,86.832500,2.775700,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000573,87.243800,2.168600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000573,87.223800,2.437100,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000574,59.535000,14.892900,中高仓位,择时,2026-02-25 18:15:19.294
2025-12-31,000577,92.748800,0.812900,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000577,92.768800,0.895700,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000577,92.623800,0.814300,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000584,90.123800,3.061400,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000584,89.062500,3.397100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000584,88.460000,3.161400,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000586,92.290000,1.778600,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000586,92.270000,1.957100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000586,91.953800,1.798600,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000587,82.877500,5.840000,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000587,81.398800,6.731400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000587,80.101300,6.700000,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000589,89.801300,2.491400,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000589,89.881300,2.315700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000589,89.315000,2.435700,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000591,78.708800,9.081400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000591,76.738800,8.904300,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000591,75.508800,8.352900,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000592,92.460000,4.077100,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000592,92.302500,4.167100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000592,92.186300,4.100000,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000594,91.850000,1.291400,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000594,92.007500,1.458600,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000594,92.157500,1.365700,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000595,89.728800,2.682900,中高仓位,不择时,2026-02-25 18:15:19.294
