c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000200,2025-09-30,250304,1,03,2025-10-28,1004173845,25进出04,700000.000000,70581767.120000,4.630000,-1
000200,2025-09-30,252480007,1,03,2025-10-28,1003829190,24东方债01BC,600000.000000,61012264.110000,4.000000,-1
000200,2025-09-30,102382897,1,03,2025-10-28,1003630678,23瀚瑞投资MTN003,500000.000000,53348082.190000,3.500000,-1
000200,2025-09-30,091701003,1,03,2025-10-28,1000963847,17中国信达债03,500000.000000,53169931.510000,3.490000,-1
000200,2025-09-30,102300549,1,03,2025-10-28,1003658703,23冀中能源MTN010(科创票据),500000.000000,52243413.700000,3.430000,-1
000200,2025-06-30,252480007,1,05,2025-07-21,1003829190,24东方债01BC,2500000.000000,253327657.530000,8.450000,-1
000200,2025-06-30,252480007,1,02,2025-08-29,1003829190,24东方债01BC,2500000.000000,253327657.530000,8.450000,-1
000200,2025-06-30,230023,1,05,2025-07-21,1003618882,23附息国债23,1000000.000000,124781147.540000,4.160000,-1
000200,2025-06-30,230023,1,02,2025-08-29,1003618882,23附息国债23,1000000.000000,124781147.540000,4.160000,-1
000200,2025-06-30,2500002,1,05,2025-07-21,1004214205,25超长特别国债02,1100000.000000,110851568.310000,3.700000,-1
000200,2025-06-30,2500002,1,02,2025-08-29,1004214205,25超长特别国债02,1100000.000000,110851568.310000,3.700000,-1
000200,2025-06-30,232380008,1,05,2025-07-21,1003428139,23广州农商行二级资本债01,700000.000000,75913408.220000,2.530000,-1
000200,2025-06-30,232380008,1,02,2025-08-29,1003428139,23广州农商行二级资本债01,700000.000000,75913408.220000,2.530000,-1
000200,2025-06-30,250304,1,05,2025-07-21,1004173845,25进出04,700000.000000,70329287.670000,2.350000,-1
000200,2025-06-30,250304,1,02,2025-08-29,1004173845,25进出04,700000.000000,70329287.670000,2.350000,-1
000201,2025-12-31,232480006,1,06,2026-01-22,1003721354,24建行二级资本债01A,600000.000000,62927424.660000,5.770000,-1
000201,2025-12-31,102484130,1,06,2026-01-22,1003938630,24中油股MTN002,600000.000000,60598152.330000,5.560000,-1
000201,2025-12-31,312510001,1,06,2026-01-22,1004272468,25交行TLAC非资本债01A(BC),600000.000000,60474440.550000,5.550000,-1
000201,2025-12-31,232380006,1,06,2026-01-22,1003417352,23中行二级资本债01A,500000.000000,53120027.400000,4.870000,-1
000201,2025-12-31,232380021,1,06,2026-01-22,1003480061,23浙商银行二级资本债01,500000.000000,52835194.520000,4.850000,-1
000201,2025-09-30,232480006,1,03,2025-10-28,1003721354,24建行二级资本债01A,600000.000000,62264712.330000,5.750000,-1
000201,2025-09-30,102484130,1,03,2025-10-28,1003938630,24中油股MTN002,600000.000000,59998500.820000,5.540000,-1
000201,2025-09-30,312510001,1,03,2025-10-28,1004272468,25交行TLAC非资本债01A(BC),600000.000000,59921875.070000,5.530000,-1
000201,2025-09-30,232380006,1,03,2025-10-28,1003417352,23中行二级资本债01A,500000.000000,52678158.900000,4.870000,-1
000201,2025-09-30,232380021,1,03,2025-10-28,1003480061,23浙商银行二级资本债01,500000.000000,52345342.470000,4.830000,-1
000201,2025-06-30,102480674,1,05,2025-07-21,1003751376,24诚通控股MTN007A,200000.000000,21573350.140000,15.640000,-1
